x,y,z
275.6005593715967,395.472635592905,a
215.29544329197682,374.5393728261887,a
249.09187891674063,403.288204794525,a
187.14403343025978,375.3962356173316,a
231.58036111332478,365.2711362255045,a
193.23026737184315,374.3430255257185,a
204.64906655680974,387.8711524674804,a
217.8644494372571,337.5315853165672,a
225.8798968691754,392.15392524523645,a
225.5909651950247,389.7977244596701,a
219.41763480442026,397.0630185917568,a
211.3099145150013,383.47305892543955,a
276.26891793442894,367.8955518540364,a
216.19991494107632,398.72615184666574,a
167.04821454309737,317.64084159262006,a
251.15744171149572,385.5725850061456,a
146.10662875145994,362.694178739354,a
223.28861314011613,376.04335239378827,a
225.85516298750576,364.4634587536046,a
185.19862566026424,362.1057406142313,a
253.53665948470262,386.7185195777531,a
178.0847821833122,390.4710001717395,a
274.43982603802544,375.7183964491054,a
248.9195189249314,346.81440169842614,a
233.47064059715663,321.8524913853108,a
265.1856900742116,357.4185219856897,a
278.97684119045806,389.05472771683844,a
288.17166477374167,345.38589082314246,a
266.831146885007,362.702537743846,a
220.84937517497184,364.7086138996805,a
230.91725350514182,333.24789996497464,a
217.7287988038973,360.74747336760277,a
278.1538399722776,390.93943799570764,a
211.66576985218012,374.75963612542125,a
207.56673187711326,294.14279975993435,a
248.41822515129093,293.1409468752976,a
224.54442205558183,275.7976345976297,a
219.36229177749266,277.43585460973975,a
207.9739132456926,293.42339511108867,a
238.22390597486054,286.8386745491993,a
198.8000164741529,242.69198181912725,a
215.8873649764775,281.7306301331011,a
213.62029071517264,269.2302291370405,a
236.1495836916891,256.1065818106814,a
273.1586216656817,266.07339523987025,a
213.44717718978967,250.70914123279175,a
240.41144959454223,252.9511305591398,a
265.6826375138882,244.15496076311854,a
234.96232902137012,246.46092651873826,a
318.77122046839526,297.8582973861052,a
233.49235676308825,257.51438557339594,a
264.8101146558126,287.56550437044956,a
245.93026163779646,361.30597923839474,a
270.38402932762546,399.4408128674084,a
287.1532061251149,372.7733512876945,a
223.7013923164579,358.1159958057025,a
217.6911203740457,341.2149745900864,a
235.52723639923457,393.48995355776174,a
229.67176480777957,388.96494482817735,a
233.02019910006044,387.26390977562716,a
209.3349442878656,369.68311642593255,a
236.0567208630593,362.3849971195457,a
229.7527693245352,398.31621823527746,a
183.33535166336094,379.2415499495261,a
233.96514452679696,374.7964336412176,a
234.09605534649734,347.9895171052651,a
246.5327462419964,395.9762515895138,a
213.26119629169474,347.1335166595968,a
167.21282301201623,384.4793094945925,a
247.17906473048805,343.53367761027175,a
236.72192847050468,366.10022742920376,a
199.11171681030126,364.17296873580415,a
194.7662946107521,339.5778426229057,a
225.4340654374184,425.47230966015576,a
224.72643869129604,361.21227756567134,a
225.3618896377926,400.9819153473227,a
213.61627455710186,337.4808701710099,a
216.32515209530536,301.5578402147512,a
